"format","name","path","size_bytes","name_valid","expected","sha256","file_status"
"MP3","PU-000003_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000003_pu.mp3","7390","True","True","70100CCF2404061B4AE3637F57771153DEB288D0B3C66236370F8D17883DB4FD","EXPECTED_FILE"
"MP3","PU-000009_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000009_pu.mp3","11157","True","True","C68BEBE93F64580AE1774625197DA5937321467AE784BF29F380B1D0615F010A","EXPECTED_FILE"
"MP3","PU-000017_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000017_pu.mp3","7056","True","True","4E1C9F631BB712DDA273280F2F296C020C543E4D4998742EE3863F0DFA82AF59","EXPECTED_FILE"
"MP3","PU-000014_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000014_pu.mp3","9215","True","True","7644470459D42C1E0033BCB552FBAFDA946FFD12D5EF7068E12B9258AF294DA3","EXPECTED_FILE"
"MP3","PU-000015_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000015_pu.mp3","10655","True","True","36C2A40D0D7A5BE2674CF7F3BC74B6CE78F82A519C871C376A7E5465AACB30DF","EXPECTED_FILE"
"MP3","PU-000010_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000010_pu.mp3","11470","True","True","1F255D8E89640D479DBC90A3E737811EF9C775E32577FB226EE131E3A43A0546","EXPECTED_FILE"
"MP3","PU-000004_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000004_pu.mp3","10653","True","True","E7C074A5F5C7D49C02804F1BC923AE62F2EADDAD0B4C41D2203B5F554D6C37FC","EXPECTED_FILE"
"MP3","PU-000016_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000016_pu.mp3","5207","True","True","E04C32F6069D57AAD124C2FB2A19663AE378AD76BC1016362CB084319AE0B988","EXPECTED_FILE"
"MP3","PU-000020_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000020_pu.mp3","9936","True","True","3B6FFD61F03D6E975955B5095920D701C13BCEA64A0CD1700C983E098EE37AC3","EXPECTED_FILE"
"MP3","PU-000006_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000006_pu.mp3","10701","True","True","5DB0707EDBE6FAF9000097B497FAFA415574C54A557C79D227B1CEE776A89622","EXPECTED_FILE"
"MP3","PU-000007_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000007_pu.mp3","9789","True","True","7B28C7AAAA49FD811A2AA92B1442C37DD25AF208B6F54D293563BE8D0C31707D","EXPECTED_FILE"
"MP3","PU-000021_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000021_pu.mp3","9644","True","True","8E94FA4CCFD54F280C6B00667885AE9802E887B4EBCADD697ADBDC62B9B748E3","EXPECTED_FILE"
"MP3","PU-000022_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000022_pu.mp3","10028","True","True","0BD3A800110F372E26837493B641528C8ABF3E4C1E0CFD7E79EA80DCCEE85918","EXPECTED_FILE"
"MP3","PU-000023_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000023_pu.mp3","11564","True","True","882153E1C481549E2EEE5BD763AF33610CEA1F9F580FBDB32931F4D37DAAB279","EXPECTED_FILE"
"MP3","PU-000024_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000024_pu.mp3","8108","True","True","04BEAA645599B87DA4E2561ABF52E1B23F6C263CF903B2960DCDCEA72E2309D2","EXPECTED_FILE"
"MP3","PU-000025_pu.mp3","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS\MP3\PU-000025_pu.mp3","7340","True","True","877DF337379CFF49AEE39E30176C8ACA29C2224A56BFE7D3463013006ABE1E4B","EXPECTED_FILE"
